Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2015-03-25,4329.29,4442.54,4329.29,4984549414026.0,76838442.0
2015-03-24,4430.99,4467.79,4430.97,5101640287722.0,0.0
2015-03-23,4445.54,4466.34,4445.52,5118403108179.0,0.0
2015-03-20,4458.54,4478.68,4456.41,5071271296715.0,0.0
2015-03-19,4426.82,4440.01,4419.84,5035199230589.0,0.0
2015-03-18,4422.5,4440.49,4344.49,5030282420082.0,96101696.0
2015-03-17,4375.63,4384.98,4349.69,4976963258857.0,0.0
2015-03-16,4370.47,4371.46,4327.27,4971097684397.0,0.0
2015-03-13,4314.9,4347.87,4289.3,4907892909486.0,0.0
2015-03-12,4336.23,4339.2,4300.87,4932151145239.0,91789161.0
2015-03-11,4305.38,4342.87,4304.28,4897066043292.0,354872982.0
2015-03-10,4329.08,4381.62,4329.08,4924023314062.0,0.0
2015-03-09,4412.99,4424.22,4391.62,5019461799102.0,444866261.0
2015-03-06,4399.23,4453.93,4389.82,5003813307052.0,0.0
2015-03-05,4452.06,4464.48,4433.94,5063898917545.0,49310450.0
2015-03-04,4445.36,4452.37,4421.0,5056281431824.0,55588369.0
2015-03-03,4458.78,4473.64,4433.51,5071543660117.0,0.0
2015-03-02,4483.05,4483.97,4450.86,5099150374696.0,698292397.0
2015-02-27,4440.67,4464.31,4435.66,5050950051397.0,0.0
2015-02-26,4462.27,4463.81,4430.79,5075518269577.0,66194644.0
2015-02-25,4440.59,4461.11,4429.9,5050857556577.0,209749362.0
2015-02-24,4451.03,4455.52,4428.82,5062730124739.0,149722752.0
2015-02-23,4449.49,4449.49,4430.86,5060980413915.0,0.0
2015-02-20,4443.05,4444.62,4397.62,5053658242144.0,0.0
2015-02-19,4411.86,4415.79,4388.44,5018181837450.0,21750219.0
2015-02-18,4390.91,4393.19,4374.23,4994350690932.0,0.0
2015-02-17,4385.34,4387.32,4370.63,4988015638031.0,2795265088.0
2015-02-13,4384.03,4384.03,4351.02,4986520829669.0,121839432.0
2015-02-12,4347.97,4347.97,4317.98,4945510111022.0,82238490.0
2015-02-11,4297.28,4305.35,4277.65,4887853597877.0,532772672.0
2015-02-10,4281.15,4286.43,4232.99,4871473149436.0,600929300.0
2015-02-09,4216.09,4235.24,4206.76,4797432496917.0,0.0
2015-02-06,4228.68,4271.28,4214.89,4811764520054.0,231576015.0
2015-02-05,4256.18,4258.0,4220.17,4843055907747.0,2828201156.0
2015-02-04,4221.2,4248.84,4198.74,4805438722982.0,1160400000.0
2015-02-03,4229.15,4229.15,4174.23,4814489375230.0,239456000.0
2015-02-02,4188.59,4189.09,4094.73,4768312043438.0,76692032.0
2015-01-30,4148.43,4210.85,4144.03,4722598362556.0,0.0
2015-01-29,4181.35,4189.54,4103.71,4760076025050.0,137874513.0
2015-01-28,4140.38,4235.15,4140.38,4713428968901.0,442145404.0
2015-01-27,4165.5,4209.41,4151.15,4742032656100.0,0.0
2015-01-26,4275.72,4282.48,4254.47,4867500601612.0,0.0
2015-01-23,4278.14,4292.88,4258.48,4870263465025.0,0.0
2015-01-22,4270.36,4274.15,4173.54,4861407192022.0,0.0
2015-01-21,4192.09,4211.28,4145.82,4772304775216.0,0.0
2015-01-20,4171.21,4181.34,4117.15,4748535904324.0,0.0
2015-01-16,4142.14,4143.53,4078.85,4715437641599.0,0.0
2015-01-15,4089.65,4169.44,4085.7,4655680569249.0,0.0
2015-01-14,4145.84,4165.0,4108.31,4719651226772.0,46767123.0
2015-01-13,4166.2,4252.7,4134.94,4742830412205.0,0.0
2015-01-12,4169.97,4223.88,4158.11,4747119862311.0,0.0
2015-01-09,4213.28,4253.97,4188.61,4796418985369.0,46577742.0
2015-01-08,4240.55,4247.93,4192.63,4827467535640.0,0.0
2015-01-07,4160.0,4169.97,4126.39,4735768909582.0,122810490.0
2015-01-06,4110.83,4176.26,4090.33,4679794205276.0,0.0
2015-01-05,4160.96,4210.96,4151.85,4736867322563.0,577541922.0
2015-01-02,4230.24,4276.71,4206.46,4815727507106.0,971581748.0
2014-12-31,4236.28,4307.01,4233.71,4822605697425.0,0.0
2014-12-30,4282.35,4309.13,4277.75,4875050810079.0,92892108.0
2014-12-29,4312.64,4321.2,4306.67,4909540591850.0,251988476.0
2014-12-26,4314.09,4322.45,4294.8,4911191811856.0,0.0
2014-12-24,4283.1,4298.87,4281.8,4875904798996.0,0.0
2014-12-23,4279.3,4309.03,4274.51,4871583623163.0,400629294.0
2014-12-22,4293.67,4295.27,4270.54,4887943742295.0,0.0
2014-12-19,4281.78,4300.4,4258.33,4775003773249.0,0.0
2014-12-18,4267.77,4267.77,4213.21,4759381717957.0,0.0
2014-12-17,4165.1,4175.97,4089.09,4644878647135.0,88101011.0
2014-12-16,4089.6,4190.42,4089.19,4561039520405.0,0.0
2014-12-15,4157.41,4236.06,4145.01,4636670467670.0,0.0
2014-12-12,4199.28,4254.43,4199.28,4683366938625.0,0.0
2014-12-11,4246.48,4296.81,4238.29,4735999243100.0,271158973.0
2014-12-10,4224.87,4297.0,4218.86,4711904066718.0,235646932.0
2014-12-09,4294.67,4297.73,4216.86,4789745352512.0,0.0
2014-12-08,4278.34,4320.08,4259.01,4771532873923.0,42318732.0
2014-12-05,4311.57,4324.42,4302.04,4808599453396.0,0.0
2014-12-04,4311.93,4327.55,4293.94,4808998604459.0,0.0
2014-12-03,4312.93,4319.02,4287.04,4810115653524.0,116258730.0
2014-12-02,4305.96,4312.92,4283.89,4802341506370.0,0.0
2014-12-01,4287.81,4332.55,4274.68,4782100061305.0,0.0
2014-11-28,4337.78,4347.09,4326.2,4837832931984.0,0.0
2014-11-26,4317.99,4319.41,4289.51,4815754307436.0,858652482.0
2014-11-25,4288.23,4302.44,4279.9,4785292970129.0,0.0
2014-11-24,4284.32,4285.0,4258.41,4780928545394.0,128382185.0
2014-11-21,4251.32,4285.27,4237.38,4744109820477.0,0.0
2014-11-20,4242.09,4245.17,4202.36,4733806408623.0,444290422.0
2014-11-19,4222.66,4235.84,4204.16,4712126196321.0,46062784.0
2014-11-18,4242.19,4248.19,4214.32,4733912773141.0,2945663959.0
2014-11-17,4213.79,4225.48,4194.18,4702224237034.0,0.0
2014-11-14,4224.99,4225.18,4198.59,4714719795387.0,0.0
2014-11-13,4213.49,4228.68,4194.33,4701885297383.0,104712325.0
2014-11-12,4195.4,4199.19,4173.02,4681704728403.0,298042143.0
2014-11-11,4187.16,4187.31,4165.25,4672512595743.0,0.0
2014-11-10,4175.95,4179.98,4151.48,4659995455357.0,703744410.0
2014-11-07,4160.5,4171.13,4139.46,4642763753757.0,152022516.0
2014-11-06,4164.08,4165.77,4133.98,4646855641669.0,3046392400.0
2014-11-05,4153.27,4179.93,4140.21,4634790091855.0,1113975000.0
2014-11-04,4156.23,4165.05,4126.72,4642013123689.0,0.0
2014-11-03,4169.28,4179.36,4156.78,4656595677438.0,77859734.0
2014-10-31,4158.21,4170.87,4143.2,4644227552756.0,0.0
2014-10-30,4100.64,4109.06,4064.45,4579924231801.0,205246429.0
2014-10-29,4090.55,4104.07,4062.49,4568661973845.0,362968897.0
2014-10-28,4106.63,4107.19,4062.21,4586612791756.0,0.0
2014-10-27,4046.02,4052.5,4019.23,4518918463656.0,0.0
2014-10-24,4042.02,4045.19,4003.43,4514452774325.0,0.0
2014-10-23,4012.27,4032.22,3984.15,4481226932187.0,0.0
2014-10-22,3949.59,3988.4,3947.98,4411622181294.0,74192517.0
2014-10-21,3971.39,3971.4,3908.83,4435978338385.0,0.0
2014-10-20,3870.08,3872.36,3804.97,4322811685012.0,0.0
2014-10-17,3815.47,3848.98,3791.16,4261816494959.0,0.0
2014-10-16,3765.28,3795.08,3704.82,4205755256140.0,0.0
2014-10-15,3785.97,3801.42,3700.22,4228869321508.0,326684046.0
2014-10-14,3810.45,3860.04,3801.16,4239748786322.0,0.0
2014-10-13,3808.0,3893.66,3807.89,4237015402882.0,0.0
2014-10-10,3870.85,3969.48,3870.85,4306956764964.0,0.0
2014-10-09,3969.32,4040.54,3965.37,4416516724160.0,0.0
2014-10-08,4041.12,4048.79,3938.16,4496407847442.0,123648971.0
2014-10-07,3958.59,4007.94,3958.44,4404575339254.0,0.0
2014-10-06,4016.27,4046.71,4004.21,4468750427552.0,0.0
2014-10-03,4027.31,4040.56,3995.81,4481035459133.0,0.0
2014-10-02,3985.87,3996.75,3934.94,4434926519484.0,0.0
2014-10-01,3984.74,4043.44,3972.9,4433675931268.0,134210086.0
2014-09-30,4049.44,4070.44,4031.7,4510570847364.0,973311037.0
2014-09-29,4047.18,4056.43,4008.58,4508043075884.0,483654699.0
2014-09-26,4053.72,4057.47,4015.02,4515331908179.0,252883257.0
2014-09-25,4007.82,4087.19,4007.63,4464207321453.0,0.0
2014-09-24,4094.31,4096.27,4041.72,4560548135780.0,120653565.0
2014-09-23,4051.57,4069.21,4043.26,4512941187003.0,0.0
2014-09-22,4061.23,4092.14,4044.99,4523702958224.0,0.0
2014-09-19,4100.09,4118.91,4084.45,4581961375936.0,0.0
2014-09-18,4103.08,4103.42,4080.82,4585302824555.0,0.0
2014-09-17,4073.57,4090.95,4048.58,4552318001256.0,79945711.0
2014-09-16,4067.27,4073.14,4009.98,4545285049426.0,0.0
2014-09-15,4029.89,4070.82,4018.3,4503503295859.0,0.0
2014-09-12,4069.23,4089.62,4057.53,4547474863157.0,0.0
2014-09-11,4092.65,4092.79,4060.92,4573639641001.0,218517321.0
2014-09-10,4094.97,4095.91,4054.61,4576236816331.0,231409071.0
2014-09-09,4061.88,4110.86,4053.11,4539257847621.0,0.0
2014-09-08,4095.46,4105.5,4076.63,4576789380136.0,178479714.0
2014-09-05,4089.92,4089.98,4051.75,4570591030484.0,0.0
2014-09-04,4066.13,4100.78,4056.53,4544008308239.0,0.0
2014-09-03,4070.96,4104.43,4063.49,4549401367180.0,210667208.0
